tag,imei,dist_id,appname,appversion
MCCT TAB .0002,3.57103E+14,1,test,1.1
MCCT TAB .0004,3.57103E+14,1,test,1.1
MCCT TAB .0005,3.57103E+14,1,test,1.1
MCCT TAB .0017,3.57103E+14,1,test,1.1
MCCT TAB .0019,3.57103E+14,1,test,1.1
MCCT TAB .0020,3.57103E+14,1,test,1.1
MCCT TAB .0030,3.57103E+14,1,test,1.1
MCCT TAB .0032,3.57103E+14,1,test,1.1
MCCT TAB .0037,3.57103E+14,1,test,
MCCT TAB .0043,3.57103E+14,1,,1.1
MCCT TAB .0044,3.57103E+14,1,test,1.1
MCCT TAB .0046,3.57103E+14,1,test,1.1
MCCT TAB .0047,3.57103E+14,1,test,1.1
MCCT TAB .0049,3.57103E+14,1,test,1.1
MCCT TAB .0050,3.57103E+14,1,test,1.1
